LOCATION,LAND_AREA,ROAD_ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,BUILT YEAR,AMENITIES,Tole,City,City_Tole_Encoded,total_rooms,area_road_interaction,room_age_interaction,LAND_AREA_squared,room_density_squared,PRICE
305,2.3978952727983707,2.5649493574615367,15,2.5,6.0,3.0,2070.0,1069,221,10,197,9.0,120.0,99.0,100.0,0.6694214876033059,17.553180200057167
252,2.3978952727983707,2.6390573296152584,11,2.5,5.0,4.0,2064.0,98,166,13,359,9.0,130.0,153.0,100.0,0.6694214876033059,17.073607134447293
212,2.3978952727983707,2.5649493574615367,4,3.5,5.0,2.0,2064.0,146,123,10,132,7.0,120.0,119.0,100.0,0.4049586776859504,16.213405921671733
278,2.3978952727983707,2.5649493574615367,4,3.5,7.0,5.0,2075.0,362,190,10,180,12.0,120.0,72.0,100.0,1.190082644628099,16.785925074816024
226,2.3978952727983707,2.5649493574615367,31,2.5,6.0,4.0,2076.0,98,137,10,142,10.0,120.0,50.0,100.0,0.8264462809917354,17.1654146803266
195,2.3978952727983707,3.044522437723423,31,2.5,4.0,4.0,2077.0,222,105,13,351,8.0,200.0,32.0,100.0,0.5289256198347108,17.129696599000436
24,2.3978952727983707,2.6390573296152584,31,1.0,8.0,3.0,2075.0,1277,119,10,129,11.0,130.0,66.0,100.0,1.0,16.97251102166758
124,2.3978952727983707,2.3978952727983707,24,3.5,5.0,4.0,2075.0,1169,30,10,69,9.0,100.0,54.0,100.0,0.6694214876033059,17.453096744006448
11,2.3978952727983707,2.833213344056216,11,2.5,5.0,4.0,2075.0,918,59,10,89,9.0,160.0,54.0,100.0,0.6694214876033059,17.622173069956816
51,2.3978952727983707,2.833213344056216,4,1.0,6.0,4.0,2077.0,1014,234,10,204,10.0,160.0,40.0,100.0,0.8264462809917354,16.951004817371683
301,2.3978952727983707,2.6390573296152584,20,2.5,5.0,4.0,2061.0,563,217,13,369,9.0,130.0,180.0,100.0,0.6694214876033059,17.11134746100564
349,2.3978952727983707,2.5649493574615367,4,3.5,12.0,6.0,2060.0,645,268,10,229,18.0,120.0,378.0,100.0,2.6776859504132235,17.370858648025116
439,2.3978952727983707,3.044522437723423,20,2.5,5.0,3.0,2062.0,169,364,10,299,8.0,200.0,152.0,100.0,0.5289256198347108,17.129696599000436
131,2.3978952727983707,2.6390573296152584,11,2.5,5.0,5.0,2077.0,685,36,13,340,10.0,130.0,40.0,100.0,0.8264462809917354,17.129696599000436
347,2.3978952727983707,2.772588722239781,25,2.5,4.0,4.0,2075.0,373,266,13,381,8.0,150.0,48.0,100.0,0.5289256198347108,17.147715103853763
405,2.3978952727983707,2.6390573296152584,20,3.0,6.0,4.0,2057.0,1268,323,10,273,10.0,130.0,240.0,100.0,0.8264462809917354,17.281246492014
414,2.3978952727983707,2.6390573296152584,20,4.5,13.0,9.0,2076.0,1058,335,13,389,22.0,130.0,110.0,100.0,4.0,18.064005814299346
247,2.3978952727983707,2.5649493574615367,4,2.5,5.0,4.0,2075.0,1209,161,10,160,9.0,120.0,54.0,100.0,0.6694214876033059,17.11134746100564
153,2.3978952727983707,2.5649493574615367,11,2.5,4.0,4.0,2074.0,1278,61,10,91,8.0,120.0,56.0,100.0,0.5289256198347108,18.02763817065757
379,2.3978952727983707,2.6390573296152584,20,2.5,5.0,4.0,2070.0,161,298,10,254,9.0,130.0,99.0,100.0,0.6694214876033059,17.32705602664604
252,2.3978952727983707,2.5649493574615367,15,2.5,3.0,4.0,2076.0,113,166,13,359,7.0,120.0,35.0,100.0,0.4049586776859504,17.281246492014
214,2.3978952727983707,2.5649493574615367,15,2.5,6.0,5.0,2076.0,651,125,10,133,11.0,120.0,55.0,100.0,1.0,18.02763817065757
314,2.3978952727983707,2.3978952727983707,20,2.5,6.0,3.0,2074.0,1073,231,10,202,9.0,100.0,63.0,100.0,0.6694214876033059,16.906553056777135
91,2.3978952727983707,3.044522437723423,31,2.5,3.0,4.0,2062.0,1235,403,22,418,7.0,200.0,133.0,100.0,0.4049586776859504,17.281246492014
237,2.3978952727983707,2.772588722239781,20,3.5,4.0,4.0,2073.0,1209,149,10,152,8.0,150.0,64.0,100.0,0.5289256198347108,17.370858648025116
243,2.3978952727983707,2.6390573296152584,11,2.5,5.0,4.0,2077.0,391,157,13,357,9.0,130.0,36.0,100.0,0.6694214876033059,16.860033043306743
436,2.3978952727983707,2.6390573296152584,11,3.5,6.0,5.0,2076.0,98,360,10,296,11.0,130.0,55.0,100.0,1.0,17.46616882523204
153,2.3978952727983707,2.772588722239781,24,2.5,5.0,5.0,2073.0,362,61,10,91,10.0,150.0,80.0,100.0,0.8264462809917354,18.02763817065757
434,2.3978952727983707,2.70805020110221,31,2.5,6.0,3.0,2074.0,1337,358,10,295,9.0,140.0,63.0,100.0,0.6694214876033059,17.370858648025116
153,2.3978952727983707,2.6390573296152584,20,3.0,6.0,6.0,2073.0,685,61,10,91,12.0,130.0,96.0,100.0,1.190082644628099,17.265498135541893
359,2.3978952727983707,2.4849066497880004,4,3.5,7.0,4.0,2060.0,550,278,10,238,11.0,110.0,231.0,100.0,1.0,16.90199724044883
416,2.3978952727983707,2.6390573296152584,4,3.0,8.0,3.0,2077.0,1105,337,13,390,11.0,130.0,44.0,100.0,1.0,17.296750678069195
459,2.3978952727983707,2.5649493574615367,20,2.5,6.0,5.0,2075.0,689,384,13,397,11.0,120.0,66.0,100.0,1.0,18.258161826219297
243,2.3978952727983707,2.6390573296152584,20,2.0,3.0,3.0,2077.0,58,157,13,357,6.0,130.0,24.0,100.0,0.29752066115702475,16.86478364583966
229,2.3978952727983707,2.5649493574615367,11,2.5,5.0,3.0,2078.0,222,141,10,146,8.0,120.0,24.0,100.0,0.5289256198347108,17.01418371633128
77,2.3978952727983707,2.6390573296152584,19,2.0,6.0,3.0,2079.0,1398,348,10,287,9.0,130.0,18.0,100.0,0.6694214876033059,17.073607134447293
133,2.3978952727983707,2.833213344056216,4,2.5,4.0,4.0,2075.0,1239,38,10,76,8.0,160.0,48.0,100.0,0.5289256198347108,16.97251102166758
310,2.3978952727983707,2.6390573296152584,15,2.5,6.0,2.0,2076.0,132,226,13,372,8.0,130.0,40.0,100.0,0.5289256198347108,16.648723960844016
201,2.3978952727983707,2.833213344056216,11,1.0,2.0,1.0,2049.0,472,111,10,125,3.0,160.0,96.0,100.0,0.07438016528925619,16.733281344102608
469,2.3978952727983707,2.5649493574615367,4,2.5,4.0,3.0,2076.0,31,397,10,322,7.0,120.0,35.0,100.0,0.4049586776859504,17.01418371633128
153,2.3978952727983707,2.6390573296152584,11,2.5,7.0,7.0,2074.0,717,61,10,91,14.0,130.0,98.0,100.0,1.6198347107438016,18.8906843794481
239,2.3978952727983707,2.70805020110221,15,2.5,7.0,6.0,2077.0,133,152,10,154,13.0,140.0,52.0,100.0,1.3966942148760333,18.8906843794481
252,2.3978952727983707,2.6390573296152584,31,2.5,4.0,4.0,2078.0,249,166,13,359,8.0,130.0,24.0,100.0,0.5289256198347108,17.073607134447293
426,2.3978952727983707,2.3978952727983707,15,2.5,6.0,3.0,2076.0,1373,348,10,287,9.0,100.0,45.0,100.0,0.6694214876033059,17.216707972959764
280,2.3978952727983707,2.70805020110221,16,2.5,6.0,4.0,2075.0,1043,195,1,15,10.0,140.0,60.0,100.0,0.8264462809917354,18.36938746009113
86,2.3978952727983707,2.5649493574615367,27,2.5,4.0,3.0,2077.0,1373,380,10,309,7.0,120.0,28.0,100.0,0.4049586776859504,16.61887099947687
131,2.3978952727983707,3.044522437723423,11,2.5,4.0,4.0,2078.0,222,36,13,340,8.0,200.0,24.0,100.0,0.5289256198347108,17.529082649058825
379,2.3978952727983707,3.044522437723423,4,2.5,4.0,5.0,2069.0,362,298,10,254,9.0,200.0,108.0,100.0,0.6694214876033059,17.216707972959764
434,2.3978952727983707,2.5649493574615367,20,2.5,7.0,3.0,2058.0,411,358,10,295,10.0,120.0,230.0,100.0,0.8264462809917354,17.19990085520835
18,2.3978952727983707,3.044522437723423,2,3.0,5.0,3.0,2065.0,1398,75,10,100,8.0,200.0,128.0,100.0,0.5289256198347108,17.11134746100564
467,2.3978952727983707,2.6390573296152584,4,2.5,8.0,4.0,2075.0,385,394,10,319,12.0,130.0,72.0,100.0,1.190082644628099,16.801192546169812
30,2.3978952727983707,2.6390573296152584,20,2.5,5.0,4.0,2065.0,1398,150,10,153,9.0,130.0,144.0,100.0,0.6694214876033059,17.399029524198163
395,2.3978952727983707,3.044522437723423,4,2.5,3.0,3.0,2077.0,1398,315,10,267,6.0,200.0,24.0,100.0,0.29752066115702475,17.565014657424058
416,2.3978952727983707,2.5649493574615367,20,2.5,5.0,4.0,2074.0,56,337,13,390,9.0,120.0,63.0,100.0,0.6694214876033059,16.929025911619092
153,2.3978952727983707,2.6390573296152584,11,2.5,6.0,5.0,2076.0,1354,61,10,91,11.0,130.0,55.0,100.0,1.0,17.426428497635523
191,2.3978952727983707,2.5649493574615367,31,2.5,5.0,4.0,2076.0,1398,100,10,117,9.0,120.0,45.0,100.0,0.6694214876033059,17.147715103853763
93,2.3978952727983707,2.6390573296152584,4,2.5,10.0,4.0,2077.0,371,1,10,49,14.0,130.0,56.0,100.0,1.6198347107438016,16.733281344102608
224,2.3978952727983707,2.3978952727983707,4,2.5,5.0,3.0,2079.0,1001,135,10,140,8.0,100.0,16.0,100.0,0.5289256198347108,17.341871111992198
225,2.3978952727983707,2.6390573296152584,20,2.5,11.0,5.0,2073.0,421,136,10,141,16.0,130.0,128.0,100.0,2.115702479338843,17.265498135541893
153,2.3978952727983707,2.6390573296152584,31,2.5,5.0,5.0,2072.0,1223,61,10,91,10.0,130.0,90.0,100.0,0.8264462809917354,17.588271519047417
455,2.3978952727983707,2.6390573296152584,31,2.5,4.0,4.0,2073.0,1201,380,10,309,8.0,130.0,64.0,100.0,0.5289256198347108,16.454567959008102
427,2.3978952727983707,2.6390573296152584,11,2.5,4.0,5.0,2077.0,1220,348,10,287,9.0,130.0,36.0,100.0,0.6694214876033059,17.19990085520835
225,2.3978952727983707,3.044522437723423,4,6.0,8.0,6.0,2074.0,385,136,10,141,14.0,200.0,98.0,100.0,1.6198347107438016,17.822843761378564
291,2.3978952727983707,3.044522437723423,4,2.5,2.0,1.0,2050.0,151,207,10,190,3.0,200.0,93.0,100.0,0.07438016528925619,15.687312888712007
427,2.3978952727983707,2.6390573296152584,4,2.5,5.0,4.0,2074.0,92,348,10,287,9.0,130.0,63.0,100.0,0.6694214876033059,16.88356353960952
408,2.3978952727983707,2.70805020110221,20,2.0,4.0,4.0,2076.0,280,326,13,387,8.0,140.0,40.0,100.0,0.5289256198347108,18.395362946224484
252,2.3978952727983707,2.6390573296152584,31,2.5,4.0,4.0,2076.0,547,166,13,359,8.0,130.0,40.0,100.0,0.5289256198347108,17.216707972959764
439,2.3978952727983707,2.3978952727983707,16,3.5,6.0,4.0,2075.0,113,364,10,299,10.0,100.0,60.0,100.0,0.8264462809917354,17.265498135541893
455,2.3978952727983707,2.6390573296152584,4,2.5,4.0,4.0,2073.0,1398,380,10,309,8.0,130.0,64.0,100.0,0.5289256198347108,16.300417291085605
230,2.3978952727983707,2.5649493574615367,11,2.5,4.0,4.0,2076.0,98,142,10,147,8.0,120.0,40.0,100.0,0.5289256198347108,16.759949589762293
131,2.3978952727983707,2.9444389791664403,15,2.5,4.0,5.0,2076.0,716,36,13,340,9.0,180.0,45.0,100.0,0.6694214876033059,17.50439003707821
116,2.3978952727983707,2.1972245773362196,11,2.5,5.0,3.0,2070.0,800,21,10,62,8.0,80.0,88.0,100.0,0.5289256198347108,16.811242881518265
243,2.3978952727983707,3.044522437723423,25,2.5,4.0,4.0,2072.0,660,157,13,357,8.0,200.0,72.0,100.0,0.5289256198347108,17.65496289206296
412,2.3978952727983707,2.6390573296152584,16,2.5,7.0,4.0,2070.0,1044,333,10,278,11.0,130.0,121.0,100.0,1.0,17.399029524198163
252,2.3978952727983707,2.6390573296152584,31,3.0,4.0,4.0,2072.0,677,166,13,359,8.0,130.0,72.0,100.0,0.5289256198347108,17.147715103853763
142,2.3978952727983707,2.5649493574615367,11,2.5,5.0,3.0,2071.0,541,48,14,400,8.0,120.0,80.0,100.0,0.5289256198347108,16.993564429978885
190,2.3978952727983707,3.332204510175204,25,2.5,4.0,5.0,2079.0,361,99,13,349,9.0,270.0,18.0,100.0,0.6694214876033059,17.50439003707821
470,2.3978952727983707,2.9444389791664403,11,2.5,3.0,4.0,2074.0,1036,395,10,320,7.0,180.0,49.0,100.0,0.4049586776859504,17.296750678069195
286,2.3978952727983707,2.5649493574615367,20,2.5,5.0,4.0,2074.0,1355,201,10,185,9.0,120.0,63.0,100.0,0.6694214876033059,17.175885979828397
252,2.3978952727983707,3.044522437723423,4,2.5,5.0,5.0,2078.0,777,166,13,359,10.0,200.0,30.0,100.0,0.8264462809917354,17.90818707978017
426,2.3978952727983707,2.3978952727983707,0,2.5,5.0,3.0,2076.0,1193,348,10,287,8.0,100.0,40.0,100.0,0.5289256198347108,16.906553056777135
235,2.3978952727983707,3.295836866004329,24,2.5,8.0,6.0,2070.0,385,147,10,151,14.0,260.0,154.0,100.0,1.6198347107438016,17.216707972959764
22,2.3978952727983707,2.6390573296152584,25,2.5,6.0,3.0,2074.0,1398,100,10,117,9.0,130.0,63.0,100.0,0.6694214876033059,17.034386422832473
101,2.3978952727983707,2.70805020110221,31,2.5,6.0,4.0,2062.0,1139,8,10,54,10.0,140.0,190.0,100.0,0.8264462809917354,17.216707972959764
252,2.3978952727983707,2.6390573296152584,20,2.5,4.0,3.0,2079.0,681,166,13,359,7.0,130.0,14.0,100.0,0.4049586776859504,17.249497794707484
113,2.3978952727983707,2.6390573296152584,4,2.5,3.0,4.0,2070.0,1348,19,10,60,7.0,130.0,77.0,100.0,0.4049586776859504,17.265498135541893
252,2.3978952727983707,2.70805020110221,20,2.5,3.0,3.0,2076.0,691,166,13,359,6.0,140.0,30.0,100.0,0.29752066115702475,17.565014657424058
418,2.3978952727983707,2.302585092994046,20,4.0,11.0,4.0,2050.0,1175,339,10,282,15.0,90.0,465.0,100.0,1.8595041322314048,17.723525562075203
347,2.3978952727983707,2.6390573296152584,25,2.5,4.0,4.0,2070.0,803,266,13,381,8.0,130.0,88.0,100.0,0.5289256198347108,17.78580249038432
64,2.3978952727983707,2.833213344056216,11,2.5,5.0,4.0,2077.0,942,315,10,267,9.0,160.0,36.0,100.0,0.6694214876033059,17.216707972959764
191,2.3978952727983707,2.6390573296152584,24,2.5,5.0,4.0,2068.0,1044,100,10,117,9.0,130.0,117.0,100.0,0.6694214876033059,17.147715103853763
161,2.3978952727983707,2.3978952727983707,4,2.5,7.0,3.0,2069.0,270,70,13,346,10.0,100.0,120.0,100.0,0.8264462809917354,16.648723960844016
350,2.3978952727983707,2.9444389791664403,20,2.5,5.0,6.0,2074.0,69,269,10,230,11.0,180.0,77.0,100.0,1.0,17.6762402900575
92,2.3978952727983707,2.6390573296152584,4,1.0,4.0,4.0,2064.0,1338,0,12,331,8.0,130.0,136.0,100.0,0.5289256198347108,15.955576839107596
77,2.3978952727983707,2.70805020110221,18,2.5,4.0,4.0,2079.0,1364,348,10,287,8.0,140.0,16.0,100.0,0.5289256198347108,17.1654146803266
379,2.3978952727983707,2.70805020110221,20,2.5,5.0,3.0,2076.0,384,298,10,254,8.0,140.0,40.0,100.0,0.5289256198347108,17.453096744006448
345,2.3978952727983707,2.5649493574615367,24,3.0,6.0,6.0,2075.0,912,263,13,378,12.0,120.0,72.0,100.0,1.190082644628099,17.909855136853043
191,2.3978952727983707,2.6390573296152584,16,2.5,4.0,2.0,2069.0,580,100,10,117,6.0,130.0,72.0,100.0,0.29752066115702475,16.929025911619092
196,2.3978952727983707,2.5649493574615367,4,3.5,5.0,4.0,2068.0,385,106,10,121,9.0,120.0,117.0,100.0,0.6694214876033059,17.281246492014
252,2.3978952727983707,2.6390573296152584,31,2.5,5.0,4.0,2076.0,385,166,13,359,9.0,130.0,45.0,100.0,0.6694214876033059,17.312018149733785
310,2.3978952727983707,2.6390573296152584,20,2.5,4.0,4.0,2070.0,502,226,13,372,8.0,130.0,88.0,100.0,0.5289256198347108,16.677711496036597
338,2.3978952727983707,3.295836866004329,24,2.5,4.0,5.0,2075.0,814,254,10,221,9.0,260.0,54.0,100.0,0.6694214876033059,17.281246492014
131,2.3978952727983707,2.772588722239781,20,2.5,4.0,4.0,2068.0,395,36,13,340,8.0,150.0,104.0,100.0,0.5289256198347108,17.622173069956816
329,2.3978952727983707,2.5649493574615367,4,2.5,5.0,7.0,2068.0,1151,245,10,214,12.0,120.0,156.0,100.0,1.190082644628099,18.287149362756413
131,2.3978952727983707,2.833213344056216,24,2.5,3.0,4.0,2076.0,390,36,13,340,7.0,160.0,35.0,100.0,0.4049586776859504,17.822843761378564
310,2.3978952727983707,3.044522437723423,20,2.5,4.0,3.0,2078.0,869,226,13,372,7.0,200.0,21.0,100.0,0.4049586776859504,17.182806422433504
317,2.3978952727983707,3.044522437723423,11,2.5,4.0,3.0,2076.0,223,234,10,204,7.0,200.0,35.0,100.0,0.4049586776859504,17.32705602664604
77,2.3978952727983707,2.3978952727983707,31,3.0,4.0,3.0,2075.0,1193,348,10,287,7.0,100.0,42.0,100.0,0.4049586776859504,16.811242881518265
131,2.3978952727983707,2.3978952727983707,24,2.5,3.0,4.0,2062.0,362,36,13,340,7.0,100.0,133.0,100.0,0.4049586776859504,17.822843761378564
257,2.3978952727983707,2.6390573296152584,31,3.5,7.0,4.0,2058.0,362,171,10,167,11.0,130.0,253.0,100.0,1.0,17.370858648025116
245,2.3978952727983707,3.044522437723423,25,2.5,5.0,4.0,2079.0,707,159,10,159,9.0,200.0,18.0,100.0,0.6694214876033059,17.281246492014
252,2.3978952727983707,2.6390573296152584,4,3.0,4.0,4.0,2073.0,1158,166,13,359,8.0,130.0,64.0,100.0,0.5289256198347108,16.993564429978885
131,2.3978952727983707,3.044522437723423,24,2.5,6.0,5.0,2078.0,364,36,13,340,11.0,200.0,33.0,100.0,1.0,17.19990085520835
277,2.3978952727983707,2.6390573296152584,4,2.5,3.0,2.0,2071.0,610,191,10,181,5.0,130.0,50.0,100.0,0.20661157024793386,16.454567959008102
131,2.3978952727983707,2.5649493574615367,24,3.5,5.0,7.0,2078.0,916,36,13,340,12.0,120.0,36.0,100.0,1.190082644628099,17.034386422832473
224,2.3978952727983707,2.6390573296152584,15,2.0,5.0,5.0,2077.0,113,135,10,140,10.0,130.0,40.0,100.0,0.8264462809917354,17.821023924694696
108,2.3978952727983707,3.044522437723423,4,2.5,4.0,4.0,2055.0,583,15,10,58,8.0,200.0,208.0,100.0,0.5289256198347108,17.426428497635523
252,2.3978952727983707,2.6390573296152584,4,3.0,4.0,4.0,2062.0,251,166,13,359,8.0,130.0,152.0,100.0,0.5289256198347108,16.993564429978885
32,2.3978952727983707,2.6390573296152584,17,1.5,4.0,3.0,2078.0,1392,157,13,357,7.0,130.0,21.0,100.0,0.4049586776859504,16.88356353960952
153,2.3978952727983707,2.5649493574615367,24,2.5,5.0,5.0,2074.0,1157,61,10,91,10.0,120.0,70.0,100.0,0.8264462809917354,18.980296537602072
190,2.3978952727983707,3.044522437723423,20,2.5,7.0,5.0,2074.0,116,99,13,349,12.0,200.0,84.0,100.0,1.190082644628099,17.182806422433504
408,2.3978952727983707,2.3978952727983707,4,2.5,6.0,6.0,2077.0,25,326,13,387,12.0,100.0,48.0,100.0,1.190082644628099,18.603002309079653
449,2.3978952727983707,2.3978952727983707,4,3.5,7.0,4.0,2059.0,227,374,10,305,11.0,100.0,242.0,100.0,1.0,18.1657885072268
399,2.3978952727983707,2.6390573296152584,24,2.5,5.0,5.0,2075.0,189,318,10,270,10.0,130.0,60.0,100.0,0.8264462809917354,18.7922443072814
131,2.3978952727983707,3.2188758248682006,20,2.5,4.0,4.0,2072.0,1011,36,13,340,8.0,240.0,72.0,100.0,0.5289256198347108,17.147715103853763
252,2.3978952727983707,2.70805020110221,25,2.5,5.0,3.0,2076.0,113,166,13,359,8.0,140.0,40.0,100.0,0.5289256198347108,17.11134746100564
263,2.3978952727983707,2.3978952727983707,20,2.5,5.0,3.0,2061.0,592,177,10,169,8.0,100.0,160.0,100.0,0.5289256198347108,16.951004817371683
149,2.3978952727983707,3.044522437723423,11,1.0,1.0,1.0,2072.0,1253,55,10,85,2.0,200.0,18.0,100.0,0.03305785123966942,17.909855136853043
153,2.3978952727983707,2.3978952727983707,31,2.5,8.0,8.0,2074.0,222,61,10,91,16.0,100.0,112.0,100.0,2.115702479338843,18.02763817065757
146,2.3978952727983707,3.044522437723423,4,2.5,4.0,3.0,2058.0,72,52,13,342,7.0,200.0,161.0,100.0,0.4049586776859504,16.906553056777135
379,2.3978952727983707,2.9444389791664403,31,2.5,5.0,3.0,2073.0,137,298,10,254,8.0,180.0,64.0,100.0,0.5289256198347108,16.951004817371683
153,2.3978952727983707,2.5649493574615367,4,3.0,7.0,4.0,2071.0,245,61,10,91,11.0,120.0,110.0,100.0,1.0,18.064005814299346
359,2.3978952727983707,2.6390573296152584,20,3.0,8.0,4.0,2074.0,581,278,10,238,12.0,130.0,84.0,100.0,1.190082644628099,16.924571561468124
