Price,Floors,Area,Road_Width,City_Bhaktapur,City_Kathmandu,City_Lalitpur,Road_Type_Blacktopped,Road_Type_Gravelled,Road_Type_Soil Stabilized
90000000,2.0,16.0,20.0,0,1,0,1,0,0
80000000,2.0,21.0,20.0,0,1,0,1,0,0
70000000,2.0,17.0,20.0,0,1,0,1,0,0
100000000,2.0,19.5,20.0,0,1,0,1,0,0
100000000,3.0,12.8125,13.0,0,1,0,1,0,0
50000000,2.0,9.25,20.0,0,1,0,1,0,0
100000000,3.5,12.875,20.0,0,1,0,1,0,0
32500000,2.5,4.0,12.0,0,1,0,1,0,0
39900000,3.0,4.5,14.0,0,1,0,1,0,0
15000000,1.0,5.0,12.0,0,1,0,0,1,0
52500000,3.0,8.0,20.0,0,1,0,1,0,0
26500000,3.0,4.0,13.0,0,1,0,1,0,0
25500000,3.0,4.0,13.0,0,1,0,0,1,0
33000000,2.5,6.0,20.0,0,1,0,1,0,0
18500000,2.75,6.0,13.0,0,1,0,0,0,1
62000000,2.75,10.0,10.5,0,1,0,0,0,1
20500000,3.0,3.5,10.0,1,0,0,0,1,0
22000000,2.75,3.5,20.0,1,0,0,1,0,0
55000000,3.0,19.0,20.0,0,1,0,0,1,0
24000000,2.5,4.0,13.0,0,1,0,1,0,0
37000000,3.0,6.1,32.0,0,1,0,0,0,1
22000000,3.5,4.5,13.0,0,0,1,0,1,0
58500000,3.0,6.5,16.0,0,1,0,1,0,0
18500000,2.5,3.0,13.0,0,0,1,0,1,0
21000000,2.5,3.5,13.0,0,0,1,0,1,0
17500000,3.0,3.125,13.0,0,0,1,0,0,1
40000000,4.0,7.0,15.0,0,1,0,1,0,0
26500000,3.0,5.0,14.0,0,1,0,1,0,0
22500000,3.0,3.1,18.0,0,1,0,1,0,0
60000000,3.0,11.0,15.0,0,1,0,0,0,1
40000000,4.0,9.0,13.0,0,1,0,1,0,0
30000000,3.0,3.5,15.0,0,1,0,1,0,0
65000000,3.0,12.0,14.0,0,1,0,0,1,0
33000000,3.0,5.0,13.0,0,1,0,1,0,0
30500000,2.0,4.0,13.0,0,1,0,1,0,0
28000000,3.0,4.0,13.0,0,1,0,1,0,0
41000000,4.0,4.0,26.0,0,1,0,1,0,0
27000000,3.0,4.5,14.0,0,1,0,0,1,0
22000000,3.0,3.1,13.0,0,1,0,0,0,1
37000000,3.0,8.0,15.0,0,1,0,1,0,0
46000000,2.5,6.75,13.0,0,1,0,1,0,0
22500000,3.0,4.0,13.0,0,1,0,0,0,1
29000000,2.0,4.5,20.0,1,0,0,1,0,0
31000000,3.0,3.0,19.68504,0,1,0,1,0,0
42500000,2.75,5.3125,29.0,0,1,0,0,0,1
37500000,3.0,5.0,13.777777777777779,0,1,0,0,0,1
80000000,2.75,9.9375,13.0,0,1,0,0,1,0
25000000,2.0,4.5,13.0,0,0,1,0,1,0
32500000,2.0,7.0,20.0,1,0,0,1,0,0
20000000,2.5,4.3125,10.0,0,1,0,0,1,0
19000000,3.5,3.0,20.0,1,0,0,0,1,0
33500000,3.0,4.0,18.0,0,1,0,1,0,0
