Floors,Area,Road_Width,City_Bhaktapur,City_Kathmandu,City_Lalitpur,Road_Type_Blacktopped,Road_Type_Gravelled,Road_Type_Soil Stabilized,Price_Log,Price_Original
3.0,7.5,20.0,0,1,0,1,0,0,17.50439003707821,39999999.999999985
4.0,13.5,13.0,0,1,0,1,0,0,18.420680753952364,99999999.99999991
3.0,4.75,13.0,0,0,1,1,0,0,17.034386422832473,24999999.999999963
3.0,6.0,12.0,0,1,0,0,0,1,17.75709238505144,51499999.99999998
2.5,5.0,15.0,0,1,0,1,0,0,17.312018149733785,33000000.000000015
2.0,4.0,13.0,0,1,0,1,0,0,17.19990085520835,29499999.999999966
3.0,5.1875,20.0,0,1,0,0,1,0,17.182806422433504,28999999.999999948
3.0,11.0,15.0,0,1,0,0,0,1,17.909855136853043,60000000.0000001
3.0,3.2,13.0,0,1,0,1,0,0,16.716932206992077,18199999.999999993
2.75,6.5,13.0,0,1,0,0,0,1,17.147715103853763,27999999.99999999
3.0,11.75,18.0,0,1,0,0,0,1,17.41282284594998,36499999.99999996
2.75,3.25,20.0,0,1,0,1,0,0,16.906553056777135,22000000.000000007
2.75,3.5,13.0,0,0,1,0,1,0,16.88356353960952,21500000.00000001
2.75,7.158509861212564,17.962962962962962,0,1,0,0,0,1,17.370858648025116,35000000.000000015
2.75,6.0,14.0,0,1,0,0,0,1,17.341871111992198,33999999.99999994
2.75,4.0,22.0,0,1,0,0,1,0,16.906553056777135,22000000.000000007
2.75,10.81081081081081,14.904761904761903,0,1,0,0,0,1,17.622173069956816,44999999.999999985
3.0,5.5,13.0,0,1,0,0,1,0,17.385043282614657,35499999.999999955
3.0,8.3,40.0,0,1,0,1,0,0,18.005165315142214,65999999.999999985
3.0,5.0,20.0,0,1,0,0,1,0,17.05418904934434,25500000.000000026
2.5,4.0,20.0,0,0,1,0,1,0,16.860033043306743,20999999.99999998
3.0,4.5,18.0,0,0,1,1,0,0,17.1654146803266,28500000.000000034
2.75,4.0,11.0,0,0,1,0,0,1,17.19990085520835,29499999.999999966
3.0,14.0,14.0,0,1,0,1,0,0,18.258161826219297,85000000.00000004
2.5,4.0,12.0,0,1,0,1,0,0,17.296750678069195,32499999.999999955
4.0,4.25,32.0,0,1,0,0,1,0,17.182806422433504,28999999.999999948
3.0,4.0,20.0,0,1,0,1,0,0,17.426428497635523,36999999.99999993
3.0,21.0,14.0,0,1,0,1,0,0,18.197537205138154,79999999.99999988
2.75,4.382761139517896,12.9375,0,1,0,0,0,1,16.811242881518265,20000000.000000015
2.75,6.5,18.0,0,1,0,1,0,0,17.312018149733785,33000000.000000015
3.0,4.25,13.0,0,1,0,1,0,0,17.129696599000436,27500000.000000015
2.0,17.0,20.0,0,1,0,1,0,0,18.064005814299346,69999999.99999991
3.0,3.875,20.0,0,1,0,0,0,1,16.759949589762293,19000000.000000015
3.0,6.25,15.0,0,1,0,0,0,1,17.073607134447293,25999999.999999985
2.75,3.75,13.0,0,1,0,0,0,1,16.993564429978885,24000000.0
2.5,4.0,15.0,0,1,0,1,0,0,17.182806422433504,28999999.999999948
2.0,8.0,12.0,0,1,0,0,0,1,17.11134746100564,26999999.999999993
3.5,3.2,13.0,0,1,0,0,0,1,17.399029524198163,36000000.000000045
3.0,4.6875,12.0,0,1,0,0,1,0,17.034386422832473,24999999.999999963
3.0,4.2,19.68504,0,1,0,0,0,1,17.356469910987094,34499999.99999998
2.0,4.0,14.0,0,1,0,1,0,0,17.073607134447293,25999999.999999985
3.0,5.1,14.0,0,1,0,1,0,0,17.274976879196945,31799999.999999985
3.0,6.0,13.0,0,1,0,1,0,0,17.909855136853043,60000000.0000001
2.5,5.0,13.0,0,1,0,1,0,0,17.50439003707821,39999999.999999985
2.75,8.0,13.0,0,1,0,1,0,0,17.453096744006448,37999999.99999996
3.0,3.0,14.0,0,1,0,0,0,1,16.648723960844016,16999999.999999974
4.0,9.0,8.0,0,1,0,1,0,0,18.197537205138154,79999999.99999988
3.0,4.0,13.0,0,1,0,1,0,0,16.951004817371683,22999999.999999974
3.0,9.5,20.0,0,1,0,1,0,0,18.064005814299346,69999999.99999991
3.0,5.5,12.0,0,0,1,0,1,0,17.034386422832473,24999999.999999963
1.0,4.0,13.0,0,1,0,1,0,0,16.257857680289998,11500000.000000019
3.0,4.375,13.0,0,1,0,0,1,0,17.296750678069195,32499999.999999955
2.5,2.5,12.0,0,0,1,1,0,0,16.68907525404123,17700000.000000007
2.0,10.0,20.0,0,0,1,1,0,0,18.064005814299346,69999999.99999991
2.75,5.0,20.0,0,1,0,0,0,1,16.677711496036597,17499999.999999985
3.0,3.3,13.0,0,0,1,0,0,1,16.929025911619092,22500000.00000001
2.5,3.25,20.0,0,0,1,0,1,0,16.785925074816024,19499999.99999998
4.0,3.0625,10.0,0,1,0,0,0,1,16.929025911619092,22500000.00000001
2.5,6.1,20.0,0,1,0,1,0,0,17.50439003707821,39999999.999999985
3.0,6.0,20.0,0,1,0,0,0,1,17.439851517607305,37500000.0
3.0,8.5,16.0,0,0,1,1,0,0,17.481044642173718,39076999.99999993
2.0,3.0,13.0,0,0,1,0,1,0,16.341239282272525,12499999.999999985
3.0,6.0,30.0,0,1,0,1,0,0,17.356469910987094,34499999.99999998
3.0,4.3,16.0,0,1,0,0,0,1,17.073607134447293,25999999.999999985
1.0,3.0,13.0,0,1,0,0,1,0,16.249124001084017,11399999.99999998
2.5,3.0,13.0,0,0,1,0,1,0,16.705882371415992,17999999.999999985
2.75,14.0,20.0,0,1,0,0,0,1,18.099097133618006,72499999.99999996
1.0,3.5,20.0,0,0,1,0,1,0,16.468752592994022,14200000.000000004
2.75,4.0,16.0,0,1,0,1,0,0,16.929025911619092,22500000.00000001
3.0,8.0,12.0,0,1,0,0,1,0,17.57671069691365,43000000.000000015
3.0,3.0,13.0,0,1,0,1,0,0,16.929025911619092,22500000.00000001
2.75,3.0,16.0,0,1,0,1,0,0,16.705882371415992,17999999.999999985
2.0,7.0,20.0,0,1,0,0,1,0,17.370858648025116,35000000.000000015
3.0,7.0,20.0,0,1,0,0,0,1,17.867295523158884,57500000.00000004
3.0,3.85,20.0,0,1,0,0,0,1,17.588271519047417,43499999.99999997
3.0,5.0,14.0,0,1,0,0,1,0,17.216707972959764,30000000.00000005
2.75,5.200876552227904,20.0,0,1,0,0,0,1,16.929025911619092,22500000.00000001
1.5,3.0,13.0,0,0,1,0,1,0,16.300417291085605,12000000.000000007
2.75,5.625,16.0,0,0,1,0,0,1,16.951004817371683,22999999.999999974
3.0,5.0,14.0,0,1,0,0,0,1,17.479072229734946,39000000.00000001
3.0,4.75,13.0,0,1,0,1,0,0,17.370858648025116,35000000.000000015
2.75,4.75,30.0,1,0,0,1,0,0,17.370858648025116,35000000.000000015
1.5,3.25,13.0,0,0,1,0,1,0,16.341239282272525,12499999.999999985
3.0,4.0,13.0,0,0,1,1,0,0,17.216707972959764,30000000.00000005
3.0,5.0,13.0,0,1,0,1,0,0,17.073607134447293,25999999.999999985
2.75,5.3125,29.0,0,1,0,0,0,1,17.565014657424058,42500000.00000005
3.0,11.0,22.0,0,1,0,0,0,1,17.622173069956816,44999999.999999985
2.75,4.0,13.0,0,1,0,0,0,1,17.41282284594998,36499999.99999996
2.0,16.0,14.0,0,1,0,1,0,0,18.064005814299346,69999999.99999991
3.0,4.0,13.0,0,0,1,0,1,0,16.98519618065851,23799999.999999996
3.0,4.5,20.0,0,1,0,0,0,1,17.370858648025116,35000000.000000015
3.0,5.5,30.0,0,1,0,1,0,0,17.341871111992198,33999999.99999994
2.0,5.0,16.0,0,0,1,1,0,0,16.341239282272525,12499999.999999985
3.0,13.0,20.0,0,1,0,1,0,0,18.258161826219297,85000000.00000004
3.0,6.0,20.0,0,1,0,1,0,0,17.622173069956816,44999999.999999985
3.0,3.1,18.0,0,1,0,1,0,0,16.929025911619092,22500000.00000001
2.75,2.75,10.0,0,1,0,1,0,0,16.759949589762293,19000000.000000015
4.0,3.75,14.0,0,1,0,1,0,0,17.05418904934434,25500000.000000026
3.0,4.0,15.0,0,1,0,1,0,0,17.471350183839803,38700000.0
2.75,4.0,14.0,0,1,0,0,0,1,17.182806422433504,28999999.999999948
4.0,12.875,13.0,0,1,0,0,0,1,17.958645300228824,63000000.000000075
3.0,12.0,14.0,0,1,0,0,1,0,17.565014657424058,42500000.00000005
2.75,4.0,15.0,0,1,0,0,0,1,16.759949589762293,19000000.000000015
3.0,4.0,20.0,0,1,0,0,1,0,17.182806422433504,28999999.999999948
2.5,4.0,20.0,0,0,1,1,0,0,16.88356353960952,21500000.00000001
3.0,3.1875,10.0,0,0,1,0,1,0,16.759949589762293,19000000.000000015
3.5,12.875,20.0,0,1,0,1,0,0,18.420680753952364,99999999.99999991
2.75,3.0,12.0,0,1,0,0,0,1,16.806230339945976,19900000.00000001
2.0,5.1875,13.0,0,0,1,0,0,1,16.489659276356317,14499999.99999999
2.75,10.0,20.0,0,1,0,0,0,1,17.281246492014,31999999.999999955
2.75,18.0,15.0,0,1,0,0,0,1,17.93454774903691,61500000.00000002
2.5,2.75,13.0,0,1,0,1,0,0,16.906553056777135,22000000.000000007
2.75,3.0,16.391479999999998,0,1,0,0,0,1,17.216707972959764,30000000.00000005
2.5,3.5,13.0,0,0,1,0,1,0,16.785925074816024,19499999.99999998
3.0,7.0,15.0,0,1,0,1,0,0,17.479072229734946,39000000.00000001
2.5,3.0,14.0,0,1,0,0,1,0,16.733281344102608,18500000.000000034
2.75,6.25,13.0,0,1,0,1,0,0,17.081270006899263,26199999.999999996
2.75,9.0,15.0,0,1,0,1,0,0,17.71748324774094,49500000.000000075
4.0,5.0,13.0,0,1,0,0,1,0,16.993564429978885,24000000.0
3.0,5.625,13.0,0,0,1,1,0,0,17.46616882523204,38500000.00000002
3.0,7.5,15.0,1,0,0,1,0,0,17.216707972959764,30000000.00000005
2.75,4.0,15.0,0,1,0,0,1,0,17.147715103853763,27999999.99999999
3.0,3.0,13.0,0,0,1,0,0,1,16.588099342704055,16000000.000000026
2.75,3.0,10.0,0,1,0,0,1,0,16.648723960844016,16999999.999999974
3.0,4.0,13.0,0,1,0,0,0,1,16.929025911619092,22500000.00000001
3.0,3.2,14.428571428571429,0,1,0,0,0,1,16.677711496036597,17499999.999999985
3.0,12.0,15.0,0,1,0,1,0,0,17.565014657424058,42500000.00000005
1.0,2.75,13.0,0,0,1,0,0,1,16.213405921671733,11000000.000000013
2.5,3.5,20.0,0,0,1,0,1,0,16.906553056777135,22000000.000000007
2.0,9.0,20.0,0,1,0,1,0,0,17.822843761378564,55000000.000000075
3.5,7.0,15.0,1,0,0,0,1,0,16.88356353960952,21500000.00000001
3.0,5.0,15.0,0,1,0,0,1,0,17.281246492014,31999999.999999955
3.0,3.0,13.0,0,1,0,1,0,0,16.860033043306743,20999999.99999998
3.0,4.8125,13.0,0,0,1,1,0,0,17.1654146803266,28500000.000000034
3.0,3.5,12.0,0,1,0,0,0,1,17.0926553286923,26499999.999999996
3.0,4.0,13.0,0,1,0,1,0,0,17.21336907180573,29899999.999999974
2.5,3.5,13.0,0,0,1,0,1,0,16.860033043306743,20999999.99999998
