Floors,Area,Road_Width,City_Bhaktapur,City_Kathmandu,City_Lalitpur,Road_Type_Blacktopped,Road_Type_Gravelled,Road_Type_Soil Stabilized,area_per_floor,total_built_area,floor_area_ratio,floor_price_premium,floor_price_premium_scaled,floor_city_interaction,floor_city_premium,price_per_area,city_road_interaction,Price_Log,Price_Original
3.0,7.5,20.0,0,1,0,1,0,0,2.5,22.5,0.4,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,5333333.333333333,1,17.50439003707821,39999999.999999985
4.0,13.5,13.0,0,1,0,1,0,0,3.375,54.0,0.2962962962962963,37466000.0,1.4918246976412703,4.0,37466000.0,7407407.407407408,1,18.420680753952364,99999999.99999991
3.0,4.75,13.0,0,0,1,1,0,0,1.5833333333333333,14.25,0.631578947368421,34629726.06117021,1.3498588075760032,0.0,0.0,5263157.894736842,0,17.034386422832473,24999999.999999963
3.0,6.0,12.0,0,1,0,0,0,1,2.0,18.0,0.5,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,8583333.333333334,0,17.75709238505144,51499999.99999998
2.5,5.0,15.0,0,1,0,1,0,0,2.0,12.5,0.5,25775471.698113207,1.2840254166877414,2.5,25775471.698113207,6600000.0,1,17.312018149733785,33000000.000000015
2.0,4.0,13.0,0,1,0,1,0,0,2.0,8.0,0.5,37939361.70212766,1.2214027581601699,2.0,37939361.70212766,7375000.0,1,17.19990085520835,29499999.999999966
3.0,5.1875,20.0,0,1,0,0,1,0,1.7291666666666667,15.5625,0.5783132530120482,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,5590361.445783133,0,17.182806422433504,28999999.999999948
3.0,11.0,15.0,0,1,0,0,0,1,3.6666666666666665,33.0,0.2727272727272727,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,5454545.454545454,0,17.909855136853043,60000000.0000001
3.0,3.2,13.0,0,1,0,1,0,0,1.0666666666666667,9.600000000000001,0.9375,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,5687500.0,1,16.716932206992077,18199999.999999993
2.75,6.5,13.0,0,1,0,0,0,1,2.3636363636363638,17.875,0.4230769230769231,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,4307692.307692308,0,17.147715103853763,27999999.99999999
3.0,11.75,18.0,0,1,0,0,0,1,3.9166666666666665,35.25,0.2553191489361702,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,3106382.9787234045,0,17.41282284594998,36499999.99999996
2.75,3.25,20.0,0,1,0,1,0,0,1.1818181818181819,8.9375,0.8461538461538461,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,6769230.769230769,1,16.906553056777135,22000000.000000007
2.75,3.5,13.0,0,0,1,0,1,0,1.2727272727272727,9.625,0.7857142857142857,34935185.18518519,1.3165306748676215,0.0,0.0,6142857.142857143,0,16.88356353960952,21500000.00000001
2.75,7.158509861212564,17.962962962962962,0,1,0,0,0,1,2.603094494986387,19.68590211833455,0.3841581632653061,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,4889285.714285715,0,17.370858648025116,35000000.000000015
2.75,6.0,14.0,0,1,0,0,0,1,2.1818181818181817,16.5,0.4583333333333333,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,5666666.666666667,0,17.341871111992198,33999999.99999994
2.75,4.0,22.0,0,1,0,0,1,0,1.4545454545454546,11.0,0.6875,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,5500000.0,0,16.906553056777135,22000000.000000007
2.75,10.81081081081081,14.904761904761903,0,1,0,0,0,1,3.9312039312039313,29.72972972972973,0.254375,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,4162500.0,0,17.622173069956816,44999999.999999985
3.0,5.5,13.0,0,1,0,0,1,0,1.8333333333333333,16.5,0.5454545454545454,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,6454545.454545454,0,17.385043282614657,35499999.999999955
3.0,8.3,40.0,0,1,0,1,0,0,2.766666666666667,24.900000000000002,0.36144578313253006,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,7951807.228915662,1,18.005165315142214,65999999.999999985
3.0,5.0,20.0,0,1,0,0,1,0,1.6666666666666667,15.0,0.6,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,5100000.0,0,17.05418904934434,25500000.000000026
2.5,4.0,20.0,0,0,1,0,1,0,1.6,10.0,0.625,25775471.698113207,1.2840254166877414,0.0,0.0,5250000.0,0,16.860033043306743,20999999.99999998
3.0,4.5,18.0,0,0,1,1,0,0,1.5,13.5,0.6666666666666666,34629726.06117021,1.3498588075760032,0.0,0.0,6333333.333333333,0,17.1654146803266,28500000.000000034
2.75,4.0,11.0,0,0,1,0,0,1,1.4545454545454546,11.0,0.6875,34935185.18518519,1.3165306748676215,0.0,0.0,7375000.0,0,17.19990085520835,29499999.999999966
3.0,14.0,14.0,0,1,0,1,0,0,4.666666666666667,42.0,0.21428571428571427,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,6071428.571428572,1,18.258161826219297,85000000.00000004
2.5,4.0,12.0,0,1,0,1,0,0,1.6,10.0,0.625,25775471.698113207,1.2840254166877414,2.5,25775471.698113207,8125000.0,1,17.296750678069195,32499999.999999955
4.0,4.25,32.0,0,1,0,0,1,0,1.0625,17.0,0.9411764705882353,37466000.0,1.4918246976412703,4.0,37466000.0,6823529.411764706,0,17.182806422433504,28999999.999999948
3.0,4.0,20.0,0,1,0,1,0,0,1.3333333333333333,12.0,0.75,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,9250000.0,1,17.426428497635523,36999999.99999993
3.0,21.0,14.0,0,1,0,1,0,0,7.0,63.0,0.14285714285714285,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,3809523.8095238097,1,18.197537205138154,79999999.99999988
2.75,4.382761139517896,12.9375,0,1,0,0,0,1,1.5937313234610533,12.052593133674215,0.6274583333333333,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,4563333.333333333,0,16.811242881518265,20000000.000000015
2.75,6.5,18.0,0,1,0,1,0,0,2.3636363636363638,17.875,0.4230769230769231,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,5076923.076923077,1,17.312018149733785,33000000.000000015
3.0,4.25,13.0,0,1,0,1,0,0,1.4166666666666667,12.75,0.7058823529411765,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,6470588.235294118,1,17.129696599000436,27500000.000000015
2.0,17.0,20.0,0,1,0,1,0,0,8.5,34.0,0.11764705882352941,37939361.70212766,1.2214027581601699,2.0,37939361.70212766,4117647.0588235296,1,18.064005814299346,69999999.99999991
3.0,3.875,20.0,0,1,0,0,0,1,1.2916666666666667,11.625,0.7741935483870968,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,4903225.806451613,0,16.759949589762293,19000000.000000015
3.0,6.25,15.0,0,1,0,0,0,1,2.0833333333333335,18.75,0.48,34629726.06117021,1.3498588075760032,3.0,34629726.06117021,4160000.0,0,17.073607134447293,25999999.999999985
2.75,3.75,13.0,0,1,0,0,0,1,1.3636363636363635,10.3125,0.7333333333333333,34935185.18518519,1.3165306748676215,2.75,34935185.18518519,6400000.0,0,16.993564429978885,24000000.0
